[2]:30:[94.214615, 349.06235, -4.1816187]
[2]:52:[754.2026, -158.53873, 34.268925]
[2]:12:[137.8608, -166.33444, 24.39542]
[2]:02:[148.24496, 86.58469, 24.76368]
[2]:49:[692.2188, -183.94896, 48.02469]
[3]:51:[58.19644, -877.15375, 105.41294]
[3]:15:[-62.021873, -466.7025, 40.588486]
[3]:31:[178.57065, -923.85986, 84.66689]
[4]:27:[-49.28247, 362.9105, -111.20947]
[4]:35:[-70.58071, 137.16344, -58.920982]
[5]:22:[-152.71756, 87.637535, -107.05375]
[5]:18:[7.79607, 61.914818, -53.840782]
[6]:23:[439.0131, -933.1724, 27.099789]
[6]:10:[113.437225, -274.00815, 56.95691]
