0:2:30:94.214615, 349.06235, -4.1816187
0:2:52:754.2026, -158.53873, 34.268925
0:2:12:137.8608, -166.33444, 24.39542
0:2:02:148.24496, 86.58469, 24.76368
0:2:49:692.2188, -183.94896, 48.02469
0:3:51:58.19644, -877.15375, 105.41294
0:3:15:-62.021873, -466.7025, 40.588486
0:3:31:178.57065, -923.85986, 84.66689
0:4:27:-49.28247, 362.9105, -111.20947
0:4:35:-70.58071, 137.16344, -58.920982
0:5:22:-152.71756, 87.637535, -107.05375
0:5:18:7.79607, 61.914818, -53.840782
0:6:23:439.0131, -933.1724, 27.099789
0:6:10:113.437225, -274.00815, 56.95691
1:2:18:94.323715, -187.59235, 18.099247
1:2:38:396.77316, -43.94604, 11.48789
1:2:08:246.6265, -47.550934, 16.204788
1:2:16:-24.978611, 109.53465, 16.86674
1:2:28:-10.856061, 241.91829, 5.586808
1:2:28:29.546309, 209.55347, 7.4823246
1:2:32:429.4589, -101.40741, 47.523758
1:2:09:-54.39425, -36.02508, 21.11229
1:2:09:-68.22452, 40.72278, 1.87493
1:2:41:447.6109, 113.4436, 15.656483
1:2:02:125.54693, 25.281984, 14.858196
1:2:02:69.797874, -35.6246, 20.928543
1:2:02:115.710464, -13.073902, 8.953732
1:2:48:588.54895, 39.530502, 32.34483
1:2:53:753.5502, -86.0313, 73.99516
1:2:49:692.47473, -184.13358, 86.40485
1:2:45:456.42517, -73.56827, 27.224373
1:2:45:475.831, -63.177143, 53.44058
1:2:11:179.68869, 175.07019, 25.365152
1:3:02:-20.831432, -183.8942, -2.4462862
1:3:02:-104.06239, -159.39328, 28.837132
1:3:51:61.74566, -874.35724, 119.17552
1:3:25:-17.227148, -785.5277, 97.36957
1:3:27:322.9537, -607.55133, 67.17123
1:3:53:369.00705, -1178.6082, 27.096693
1:3:10:105.327614, -217.84468, 12.226166
1:3:10:168.17802, -197.07571, 36.26765
1:3:41:143.87784, -1257.6659, 12.724207
1:4:30:-149.13612, 247.77805, -70.78419
1:4:08:-140.0578, 483.41925, -57.614475
1:4:19:-659.07, 257.203, -50.840305
1:4:37:79.7391, 149.13474, 1.8874019
1:4:39:17.830425, 72.33966, 21.750679
1:4:13:-105.89913, 588.58606, -4.592759
1:4:20:-723.6977, 339.11356, 40.242817
1:4:00:-368.29532, 410.00537, -30.442602
1:4:15:-665.2319, 315.72128, 36.61357
1:5:19:-27.314747, 126.756615, -80.3833
1:5:15:73.9563, 186.72592, -58.868362
1:5:32:224.9169, 255.70929, -67.28232
1:5:31:-82.99977, -72.1151, -154.08395
1:5:40:161.04597, 352.39728, -174.81203
1:5:05:98.35289, -18.84465, 3.3961048
1:5:13:-25.55539, 199.58018, 52.70119
1:5:36:113.3643, -34.201637, -165.92862
1:5:02:100.42536, 14.960495, 50.37513
1:6:08:-54.526352, -271.64035, -3.1138701
1:6:06:70.21992, -181.83176, 6.079977
1:6:14:351.9999, -333.72617, 44.624874
